Rarities
set    color        mythic    rare    uncommon    common
-----  ---------  --------  ------  ----------  --------
eld    white             4       9          10        18
       blue              2      11          10        18
       black             2      10          10        17
       red               3      10          11        17
       green             2      10          11        17
       double            5      10          20         0
       triple            4       0           0         0
       more              0       0           0         0
       colorless         0       9          10        20
       two faces         0       0           0         0
thb    white             3      10          14        20
       blue              2       9          14        19
       black             1      10          13        20
       red               2       9          13        19
       green             2       9          13        19
       double            8      10          10         0
       triple            0       0           0         0
       more              0       0           0         0
       colorless         0       8           5         6
       two faces         0       0           0         0
iko    white             1       4          11        19
       blue              0       4          11        19
       black             0       4          11        19
       red               1       4          11        19
       green             1       4          11        19
       double            7      15          20         0
       triple            6      10           0         0
       more              0       0           0         0
       colorless         0       8           5        16
       two faces         0       0           0         0
m21    white             4       9          14        20
       blue              3       9          14        20
       black             4       9          14        20
       red               4       9          14        20
       green             3      10          13        20
       double            0       2          10         0
       triple            1       0           0         0
       more              0       1           0         0
       colorless         2      10           5        16
       two faces         0       0           0         0
znr    white             3       9          13        19
       blue              3       9          13        19
       black             3       9          13        19
       red               3       9          13        19
       green             3       8          13        19
       double            2      10          10         0
       triple            0       0           0         0
       more              1       0           0         0
       colorless         2      10           5         6
       two faces         0       0           0         0
khm    white             3       9          13        19
       blue              3       9          11        19
       black             3      10          12        19
       red               3       9          12        19
       green             3       9          11        19
       double            4      12          21         0
       triple            0       1           0         0
       more              1       0           0         0
       colorless         0      10          15        16
       two faces         0       0           0         0
stx    white             1       7           9        12
       blue              0       6           9        12
       black             1       6           9        12
       red               1       6           9        12
       green             1       6           9        12
       double           15      28          30        30
       triple            1       0           0         0
       more              0       0           0         0
       colorless         1      10           5        15
       two faces         0       0           0         0
mh2    white             3       9          15        15
       blue              3       9          15        15
       black             3       9          15        15
       red               3       9          15        15
       green             4       9          15        15
       double            2      15          10        10
       triple            2       1           0         0
       more              1       0           0         0
       colorless         4      18          14        16
       two faces         0       0           0         0
afr    white             3       8          13        19
       blue              3       8          13        19
       black             4       7          13        19
       red               3       8          13        19
       green             3       8          13        19
       double            1      11          10         0
       triple            1       0           0         0
       more              1       0           0         0
       colorless         1      10           5         6
       two faces         0       0           0         0
mid    white             3       6          12        19
       blue              3       7          12        19
       black             5       8          12        19
       red               3       7          12        19
       green             3       7          12        19
       double            3      22          20         0
       triple            0       0           0         0
       more              0       0           0         0
       colorless         0       7           3         5
       two faces         0       0           0         0
vow    white             4       9          13        19
       blue              3       9          14        19
       black             4      10          14        19
       red               4       9          14        19
       green             3       9          14        19
       double            2      10          11         0
       triple            0       0           0         0
       more              0       0           0         0
       colorless         0       8           3         5
       two faces         0       0           0         0
neo    white             2       9          13        19
       blue              3       7          14        19
       black             3       8          13        19
       red               2       8          13        19
       green             3       8          13        19
       double            4       7          10         0
       triple            0       2           0         0
       more              1       0           0         0
       colorless         0      10          12        22
       two faces         0       0           0         0
snc    white             3       5          10        15
       blue              2       6          10        15
       black             2       6          10        15
       red               2       6          10        15
       green             3       5          10        15
       double            1       5          10         5
       triple            5      20          15         5
       more              1       0           0         0
       colorless         1       7           5        16
       two faces         0       0           0         0
dmu    white             1      10          11        17
       blue              2       9          11        17
       black             2       9          11        17
       red               2       9          11        17
       green             2       9          11        17
       double            1      10          20         0
       triple            5       0           0         0
       more              1       0           0         0
       colorless         4       9           5        16
       two faces         0       0           0         0
bro    white             2       7          10        15
       blue              2       7          10        15
       black             1       8          10        14
       red               1       7           9        15
       green             3       5           8        16
       double            6       8          10         0
       triple            0       1           0         0
       more              0       0           0         0
       colorless        11      25          23        26
       two faces         0       0           0         0
one    white             3       7          13        17
       blue              3       7          13        17
       black             3       7          13        17
       red               3       7          13        17
       green             3       7          13        17
       double            2      13          10         0
       triple            0       0           0         0
       more              1       0           0         0
       colorless         2      17           5        16
       two faces         0       0           0         0
mom    white             3       8          11        20
       blue              1       9          11        20
       black             2       8          11        20
       red               3       9          11        20
       green             3       9          11        20
       double            1      19          30         5
